Premio;Nominado;URL;Marca de tiempo (Ej=00:30-01:00)
im-just-ken;Mono (Little Nightmares II);https://www.youtube.com/watch?v=LqcHuW9DSlM&ab_channel=RAMBROplays;05:25-05:55
im-just-ken;9S (NieR: Automata);https://www.youtube.com/watch?v=-fTEXaA6Y1s&ab_channel=SantaHavelyn;02:57-03:27
mujercalculos;Bárbara Gordon / Oráculo (Batman: Arkham Knight);https://www.youtube.com/watch?v=F2mtxwRwA5o&t=877s&ab_channel=mykado33;02:10-02:45
mujercalculos;Senua (Senua's Saga: Hellblade II);https://www.youtube.com/watch?v=FaybESjwj0Y&t=52s&ab_channel=VGS-VideoGameSophistry;02:26-02:56
mujercalculos;Alex (Oxenfree I y II);https://www.youtube.com/watch?v=SIIIdemMmAw&ab_channel=Duck360Gaming;05:11-05:47
mujercalculos;Six (Little Nightmares II);https://www.youtube.com/watch?v=Y3ZpeeqcPeI&t=1255s&ab_channel=GameClips;17:59-18:38
mujercalculos;Hiedra Venenosa (Batman: Arkham Knight);https://www.youtube.com/watch?v=phXstMZCro8&ab_channel=CodigoJuegos;00:10-00:47
el-killer-no-tu-abuela;Joker (Batman: Arkham Trilogy);https://www.youtube.com/watch?v=ocZwsrcQD2A&ab_channel=M.Silva23;00:05-00:35
el-killer-no-tu-abuela;The Thin Man (Little Nightmares II);https://www.youtube.com/watch?v=6joAqIFEF_Y&ab_channel=Trophygamers;01:05-01:35
el-killer-no-tu-abuela;El Espantapájaros (Batman: Arkham Knight);https://www.youtube.com/watch?v=exPN3-80hJE&ab_channel=DarkPlayerGamingTV;10:01-10:45
el-killer-no-tu-abuela;Fantasmas (Oxenfree I y II);https://www.youtube.com/watch?v=ajzlx4NuLqY&ab_channel=PoopyFungus;00:00-00:28
el-killer-no-tu-abuela;Artorias (Dark Souls);https://www.youtube.com/watch?v=rgy1TV12LDc&ab_channel=BossFightDatabase;00:00-00:39
now-that-is-drama;José Padilla (Voz de el Joker en español) (Batman: Arkham Trilogy);https://www.youtube.com/watch?v=zfsbwhJvDAA&ab_channel=trastendo;00:00-00:31
now-that-is-drama;Trey Parket (Voz original de Cartman) (South Park: The Stick of Truth);https://www.youtube.com/watch?v=De5C_p9LQt0&ab_channel=TARFUGAMING;00:00-00:37
now-that-is-drama;Melina Juergens (Actriz de Senua) (Senua's Saga: Hellblade II);https://www.youtube.com/watch?v=K1qG8pREfkA&ab_channel=NinjaTheory;00:25-00:59
now-that-is-drama;Cristina Peña (Voz internacional de Alba) (Neva);https://www.youtube.com/watch?v=UWIDTJXtq_o&t=4121s&ab_channel=EGLikeDislike;24:49-25:08
now-that-is-drama;Claudio Serrano (Voz de Batman en español) (Batman: Arkham Trilogy);https://www.youtube.com/watch?v=DAsN4fRJa0s&ab_channel=iCRec;01:57-02:41
oscar;Final E (NieR: Automata);https://www.youtube.com/watch?v=jO4v_oMJV3A&ab_channel=PCFriends;24:01-24:31
oscar;Muerte de el Joker (Batman: Arkham City);https://www.youtube.com/watch?v=mnrDlYWf0Io&t=671s&ab_channel=SEIJASYT;10:20-11:16
oscar;El suicidio de Bárbara (Batman: Arkham Knight);https://www.youtube.com/watch?v=FbjnBi0d7xo&ab_channel=PipeVildosoCastillo;00:49-01:38
oscar;Flashbacks de Bárbara (Batman: Arkham Knight);https://www.youtube.com/watch?v=JAv0jk1184g&ab_channel=CodigoJuegos;00:02-01:00
oscar;Mono se convierte en The Thin Man (Little Nightmares II);https://www.youtube.com/watch?v=Y3ZpeeqcPeI&t=1255s&ab_channel=GameClips;20:35-21:37
pixel-perfect;Neva;https://www.youtube.com/watch?v=UF01VAvGbV4&ab_channel=Seccussion;02:00-02:30
pixel-perfect;Super Mario Odyssey;https://www.youtube.com/watch?v=eE5ZF3hNKak&ab_channel=NintendoEspa%C3%B1a;01:17-02:47
pixel-perfect;Senua's Saga: Hellblade II;https://www.youtube.com/watch?v=hRv21LqmpRA&ab_channel=DefendTheHouse;00:00-00:30
pixel-perfect;Little Nightmares II;https://www.youtube.com/watch?v=kz_8gBOyZko&ab_channel=OGTeckl;00:00-00:30
pixel-perfect;Animal Well;https://www.youtube.com/watch?v=uBGvGpeRp1E&ab_channel=PlayStationAsia;00:01-00:24
the-poet-and-the-muse;Little Nightmares II;https://www.youtube.com/watch?v=Re1JVXOVeWs&ab_channel=Game_track;42:26-42:56
the-poet-and-the-muse;NieR: Automata;https://www.youtube.com/watch?v=vbZBmxwQBTI&ab_channel=WendellJ.Silva;00:00-00:30
the-poet-and-the-muse;Oxenfree II: Lost Signals;https://www.youtube.com/watch?v=IFaYrge3N3M;10:37-11:07
the-poet-and-the-muse;Batman: Arkham Knight;https://www.youtube.com/watch?v=4dQ4wGHuCNg&list=PLSQoPnd2HxhIk87_Qj9rX373v1TqA14jk&ab_channel=ValbuenaGames;03:50-04:20
the-poet-and-the-muse;Senua's Saga: Hellblade II;https://www.youtube.com/watch?v=idC50yINioU&ab_channel=GameClips;03:01:15-03:01:59
mini-lisan-al-gaib-mini-lag;Animal Well;https://www.youtube.com/watch?v=4xEEwZsO_H8&ab_channel=MannyMaxo;00:22-01:10
mini-lisan-al-gaib-mini-lag;Little Nightmares II;https://www.youtube.com/watch?v=OKZyTpiHDUA&ab_channel=FPGoodGame;00:00-00:39
mini-lisan-al-gaib-mini-lag;Neva;https://www.youtube.com/watch?v=DNsWRPDh0Lg&ab_channel=ConiferousRobot;01:00-01:45
mini-lisan-al-gaib-mini-lag;Oxenfree;https://www.youtube.com/watch?v=oUp7w8g6QZA&ab_channel=YOGSCASTKim;02:15-03:04
mini-lisan-al-gaib-mini-lag;Oxenfree II: Lost Signals;https://www.youtube.com/watch?v=_fZ8IVSU5UY&ab_channel=EnigMind;30:25-31:24
mini-lisan-al-gaib-mini-lag;The Plucky Squire;https://www.youtube.com/watch?v=5geFbB4vt_c&ab_channel=IntroGameOver;22:27-23:15
mini-lisan-al-gaib-mini-lag;Hi-Fi Rush;https://www.youtube.com/watch?v=qcEWLizh6gQ&ab_channel=Levas;05:48-06:38
mini-lisan-al-gaib-mini-lag;Katana Zero;https://www.youtube.com/watch?v=etta-lXMLe0&ab_channel=8rgk;00:50-01:40
lisan-al-gaib-lag;Super Mario Odyssey;https://www.youtube.com/watch?v=Jb1hY8-9aO8&ab_channel=ProsafiaGaming;02:49-03:37
lisan-al-gaib-lag;Animal Well;https://www.youtube.com/watch?v=wWGtVJUtgjQ&ab_channel=Str1d3r08000;05:11-05:45
lisan-al-gaib-lag;Batman: Arkham Knight;https://www.youtube.com/watch?v=x5C6OpKe8w4&ab_channel=Kratosworld;03:56:52-03:57:59
lisan-al-gaib-lag;Little Nightmares II;https://www.youtube.com/watch?v=gKCvphbCpPE&ab_channel=GameplayOnly;00:37-01:25
lisan-al-gaib-lag;NieR: Automata;https://www.youtube.com/watch?v=_v9Ivu4KHso&ab_channel=BossFightDatabase;01:30-02:25
